t_s,raw,est,ref
6.865,0.18,0.15,0
6.884,0.03,0.15,0
6.903,0.19,0.15,0
6.93,0.14,0.15,0
6.954,0.15,0.15,0
6.966,0.03,0.15,0
6.987,0.17,0.15,0
7.025,0.19,0.15,0
7.027,0.24,0.15,0
7.049,0.07,0.15,0
7.071,0.21,0.15,0
7.091,0.15,0.15,0
7.12,0.26,0.16,0
7.136,0.14,0.16,0
7.156,0.24,0.17,0
7.175,0.21,0.17,0
7.21,0.19,0.17,0
7.222,0.15,0.17,0
7.243,0.11,0.17,0
7.263,0.33,0.18,0
7.287,0.13,0.18,0
7.317,0.25,0.18,0
7.329,0.12,0.18,0
7.352,0.22,0.18,0
7.37,0.11,0.18,0
7.393,0.14,0.18,0
7.416,0.21,0.18,0
7.436,0.22,0.18,0
7.453,0.19,0.18,0
7.471,0.08,0.17,0
7.49,0.15,0.17,0
7.51,0.14,0.17,0
7.536,0.11,0.17,0
7.556,0.12,0.16,0
7.581,0.11,0.16,0
7.601,0.17,0.16,0
7.635,0.29,0.16,0
7.647,0.12,0.17,0
7.668,0.21,0.17,0
7.691,-0.01,0.16,0
7.715,0.19,0.16,0
7.738,0.11,0.15,0
7.763,0.03,0.15,0
7.783,0.11,0.15,0
7.804,0.18,0.15,0
7.825,0.25,0.16,0
7.843,0.14,0.16,0
7.871,0.1,0.16,0
7.883,0.17,0.15,0
7.911,0.21,0.16,0
7.929,0.18,0.16,0
7.95,0.19,0.16,0
7.97,0.06,0.15,0
7.992,0.29,0.16,0
8.013,0.04,0.15,0
8.041,0.15,0.15,0
8.053,0.17,0.15,0
8.073,0.19,0.16,0
8.093,0.17,0.15,0
8.114,0.17,0.16,0
8.145,0.15,0.15,0
8.154,0.14,0.16,0
8.175,0.21,0.15,0
8.195,0.18,0.15,0
8.251,0.21,0.15,0
8.253,0.08,0.15,0
8.259,0.1,0.14,0
8.28,0.12,0.14,0
8.32,0.19,0.14,0
